Symbol,Name,Exchange
AAPL,Apple Inc.,NASDAQ
MSFT,Microsoft Corporation,NASDAQ
GOOGL,Alphabet Inc. Class A,NASDAQ
GOOG,Alphabet Inc. Class C,NASDAQ
AMZN,Amazon.com Inc.,NASDAQ
NVDA,NVIDIA Corporation,NASDAQ
META,Meta Platforms Inc.,NASDAQ
TSLA,Tesla Inc.,NASDAQ
AVGO,Broadcom Inc.,NASDAQ
ORCL,Oracle Corporation,NYSE
AMD,Advanced Micro Devices Inc.,NASDAQ
INTC,Intel Corporation,NASDAQ
QCOM,QUALCOMM Incorporated,NASDAQ
CRM,Salesforce Inc.,NYSE
ADBE,Adobe Inc.,NASDAQ
NOW,ServiceNow Inc.,NYSE
UBER,Uber Technologies Inc.,NYSE
NFLX,Netflix Inc.,NASDAQ
SHOP,Shopify Inc.,NYSE
SQ,Block Inc.,NYSE
SNOW,Snowflake Inc.,NYSE
PLTR,Palantir Technologies Inc.,NYSE
COIN,Coinbase Global Inc.,NASDAQ
HOOD,Robinhood Markets Inc.,NASDAQ
ZM,Zoom Video Communications Inc.,NASDAQ
TWLO,Twilio Inc.,NYSE
NET,Cloudflare Inc.,NYSE
MDB,MongoDB Inc.,NASDAQ
DDOG,Datadog Inc.,NASDAQ
CRWD,CrowdStrike Holdings Inc.,NASDAQ
S,SentinelOne Inc.,NYSE
PANW,Palo Alto Networks Inc.,NASDAQ
ABNB,Airbnb Inc.,NASDAQ
LYFT,Lyft Inc.,NASDAQ
SNAP,Snap Inc.,NYSE
PINS,Pinterest Inc.,NYSE
SPOT,Spotify Technology S.A.,NYSE
ROKU,Roku Inc.,NASDAQ
RBLX,Roblox Corporation,NYSE
U,Unity Software Inc.,NYSE
PATH,UiPath Inc.,NYSE
AI,C3.ai Inc.,NYSE
IBM,International Business Machines Corp.,NYSE
HPQ,HP Inc.,NYSE
DELL,Dell Technologies Inc.,NYSE
WDC,Western Digital Corporation,NASDAQ
STX,Seagate Technology Holdings PLC,NASDAQ
AMAT,Applied Materials Inc.,NASDAQ
LRCX,Lam Research Corporation,NASDAQ
KLAC,KLA Corporation,NASDAQ
MRVL,Marvell Technology Inc.,NASDAQ
MCHP,Microchip Technology Inc.,NASDAQ
TXN,Texas Instruments Inc.,NASDAQ
ADI,Analog Devices Inc.,NASDAQ
NXPI,NXP Semiconductors N.V.,NASDAQ
ON,ON Semiconductor Corporation,NASDAQ
SWKS,Skyworks Solutions Inc.,NASDAQ
QRVO,Qorvo Inc.,NASDAQ
MPWR,Monolithic Power Systems Inc.,NASDAQ
ENTG,Entegris Inc.,NASDAQ
AMKR,Amkor Technology Inc.,NASDAQ
OLED,Universal Display Corporation,NASDAQ
CREE,Wolfspeed Inc.,NYSE
ACLS,Axcelis Technologies Inc.,NASDAQ
FORM,FormFactor Inc.,NASDAQ
POWI,Power Integrations Inc.,NASDAQ
RMBS,Rambus Inc.,NASDAQ
ONTO,Onto Innovation Inc.,NYSE
COHU,Cohu Inc.,NASDAQ
AMBA,Ambarella Inc.,NASDAQ
SLAB,Silicon Laboratories Inc.,NASDAQ
